Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,MSE,Torch MSE,MAE,R2,RMSE,EV Score
GAT,0.05,250,0.05,64,3618.4626,3618.462158203125,40.46032,-0.2047708961279914,60.15366,6.953875223795573e-08
GraphSAGE,0.05,250,0.05,64,1196.0654,1196.0654296875,24.223091,0.5132508232966938,34.58418,0.5144379238287607
GIN,0.05,250,0.05,64,127.96081,127.96080780029297,8.221773,0.9555096434443349,11.311976,0.9577025175094604
GCN,0.05,250,0.05,128,1942.0248,1942.0245361328125,33.69117,0.2922179249253701,44.06841,0.30547285079956055
GAT,0.05,250,0.05,128,1790.6724,1790.6724853515625,31.668337,0.34310833991845563,42.316338,0.3475433538357417
GraphSAGE,0.05,250,0.05,128,291.56583,291.5658264160156,11.778168,0.8872448208516156,17.075298,0.8874848435322443
GIN,0.05,250,0.05,128,274.1763,274.1762390136719,11.386967,0.9066835086066584,16.55827,0.9267143507798513
GCN,0.05,250,0.05,256,1129.2323,1129.232177734375,24.079773,0.6072109898109529,33.604053,0.6123387366533279
GAT,0.05,250,0.05,256,2770.2048,2770.20458984375,40.871754,-0.02985089804507926,52.632736,-0.0216447114944458
GraphSAGE,0.05,250,0.05,256,1222.7128,1222.7125244140625,24.504189,0.5021980904950594,34.96731,0.5049429386854172
GIN,0.05,250,0.05,256,546.00824,546.0082397460938,14.711328,0.8102550844299453,23.36682,0.8621508777141571
GCN,0.05,250,0.05,512,3069.4138,3069.413818359375,45.02989,-0.026613638499209048,55.40229,0.3705172687768936
GAT,0.05,250,0.05,512,3214.3438,3214.343505859375,42.446857,-0.12244979475356825,56.695183,-0.00018734236558278403
GraphSAGE,0.05,250,0.05,512,196.07368,196.0736846923828,9.523446,0.9202149553865305,14.002631,0.9202930976947149
GIN,0.05,250,0.05,512,691.4318,691.4317626953125,19.187113,0.7752066132727884,26.295092,0.8179514209429423
GCN,0.05,250,0.005,32,1210.388,1210.3878173828125,24.136675,0.5905544977293198,34.79063,0.5914656271537145
GAT,0.05,250,0.005,32,1056.2274,1056.2274169921875,22.970293,0.6266055274580816,32.499653,0.6407557179530462
GraphSAGE,0.05,250,0.005,32,1181.3212,1181.3212890625,24.126566,0.521065323669008,34.370354,0.521734376748403
GIN,0.05,250,0.005,32,125.26541,125.26542663574219,7.900142,0.9556608099462335,11.1922035,0.9568051000436147
GCN,0.05,250,0.005,64,1190.857,1190.85693359375,23.497421,0.6033215133842145,34.508797,0.6227612098058065
GAT,0.05,250,0.005,64,2056.8142,2056.81396484375,32.507496,0.30989274276351786,45.35211,0.30996812383333844
GraphSAGE,0.05,250,0.005,64,1197.9272,1197.92724609375,24.297743,0.5130599370302675,34.611084,0.5141984423001608
GIN,0.05,250,0.005,64,140.46544,140.46546936035156,8.062194,0.9528365440482008,11.851811,0.957252249121666
GCN,0.05,250,0.005,128,1898.1113,1898.111572265625,32.607204,0.3102552870575313,43.567318,0.31228192150592804
GAT,0.05,250,0.005,128,2609.3967,2609.396728515625,37.565605,0.08273958976473426,51.082256,0.08298407991727193
GraphSAGE,0.05,250,0.005,128,1244.0225,1244.0224609375,24.930803,0.49704433629769373,35.270702,0.49993208050727844
GIN,0.05,250,0.005,128,343.79776,343.7977294921875,13.1589,0.8798842891516201,18.541784,0.8954408367474874
GCN,0.05,250,0.005,256,1517.8877,1517.8878173828125,27.982874,0.4887272205896905,38.96008,0.49313703179359436
GAT,0.05,250,0.005,256,4339.239,4339.2392578125,46.183334,-0.43009201579561057,65.8729,-2.483526865641276e-08
GraphSAGE,0.05,250,0.005,256,656.0363,656.0363159179688,18.41184,0.7446601367020929,25.613205,0.7454407960176468
GIN,0.05,250,0.005,256,141.3543,141.3542938232422,8.2838545,0.9532111821321022,11.889251,0.9604107191165289
GCN,0.05,250,0.005,512,1311.497,1311.4970703125,25.902357,0.5608897055460004,36.214596,0.5625532567501068
GAT,0.05,250,0.005,512,2840.8564,2840.856689453125,39.69514,-0.07169849639523417,53.299686,-0.07063038647174835
GraphSAGE,0.05,250,0.005,512,7476.72,7476.7197265625,59.134842,-1.330327649512147,86.46803,-2.9802322387695312e-08
GIN,0.05,250,0.005,512,148.02783,148.02783203125,8.926293,0.9475423621123752,12.166669,0.9512849052747091
GCN,0.05,250,0.0005,32,854.2934,854.2933349609375,20.222826,0.7136013819198844,29.228298,0.7156538516283035
