Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,MSE,Torch MSE,MAE,R2,RMSE,EV Score
GraphSAGE,0.05,100,5e-05,256,1643.6592,1643.6590576171875,27.886496,0.30009118643368665,40.54207,0.32030182225363596
GIN,0.05,100,5e-05,256,1558.7404,1558.7406005859375,27.433447,0.3688611410101452,39.480885,0.43808862566947937
GCN,0.05,100,5e-05,512,1595.4141,1595.4141845703125,28.666569,0.377504062836928,39.942635,0.38023855856486727
GAT,0.05,100,5e-05,512,8736.187,8736.1875,67.56761,-4.436803284093053,93.46757,-4.379997219358172
GraphSAGE,0.05,100,5e-05,512,1579.9031,1579.9031982421875,28.564302,0.2841426488526502,39.747993,0.2964467406272888
GIN,0.05,100,5e-05,512,62341.594,62341.58984375,48.08664,-16.905778324992557,249.68298,-16.112075375659124
GCN,0.05,250,0.05,32,1192.6965,1192.696533203125,24.113705,0.5378848674176341,34.53544,0.5394013609204974
GAT,0.05,250,0.05,32,1847.8998,1847.89990234375,29.968756,0.21921901767582566,42.987206,0.22010112234524318
GraphSAGE,0.05,250,0.05,32,1022.36774,1022.3677368164062,22.309225,0.5053082971987223,31.974485,0.5062674369130816
GIN,0.05,250,0.05,32,251.49614,251.4961395263672,10.949212,0.8780506506777705,15.85863,0.8927547335624695
GCN,0.05,250,0.05,64,1209.5739,1209.5738525390625,23.983484,0.5539254223368385,34.778927,0.5553606067384992
GAT,0.05,250,0.05,64,1667.208,1667.2081298828125,29.847164,0.24997843725716407,40.83146,0.25043420280729023
GraphSAGE,0.05,250,0.05,64,202.92203,202.92202758789062,9.675383,0.874415142148638,14.24507,0.8751936895506722
GIN,0.05,250,0.05,64,165.18529,165.18528747558594,8.90651,0.9209704550621715,12.852443,0.9225052126816341
GCN,0.05,250,0.05,128,1799.5693,1799.5693359375,30.856735,0.23937873261973808,42.42133,0.2436665552003043
GAT,0.05,250,0.05,128,1496.4371,1496.437255859375,28.543993,0.33933201342086466,38.68381,0.3443127487386976
GraphSAGE,0.05,250,0.05,128,430.04474,430.0447082519531,14.858164,0.7417157406254822,20.73752,0.7457074310098376
GIN,0.05,250,0.05,128,200.66368,200.66363525390625,9.639512,0.9218012892459788,14.165581,0.9289271320615496
GCN,0.05,250,0.05,256,1819.1451,1819.1451416015625,28.794909,0.2448222218121801,42.651436,0.2697974911757878
