Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,Test MSE
GraphSAGE,0.2,50,0.001,128,7572.498046875
GIN,0.2,50,0.001,128,7540.51806640625
GCN,0.2,50,0.0005,16,2484.403564453125
GAT,0.2,50,0.0005,16,21590374.0
GraphSAGE,0.2,50,0.0005,16,7308.166015625
GIN,0.2,50,0.0005,16,5914.8759765625
GCN,0.2,50,0.0005,32,7434.27880859375
GAT,0.2,50,0.0005,32,13570422.0
GraphSAGE,0.2,50,0.0005,32,7551.81494140625
GIN,0.2,50,0.0005,32,5791.65234375
GCN,0.2,50,0.0005,64,7518.4658203125
GAT,0.2,50,0.0005,64,14794473472.0
GraphSAGE,0.2,50,0.0005,64,7565.88916015625
GIN,0.2,50,0.0005,64,7312.38818359375
GCN,0.2,50,0.0005,128,7550.20166015625
GAT,0.2,50,0.0005,128,4317242880.0
GraphSAGE,0.2,50,0.0005,128,7571.54638671875
GIN,0.2,50,0.0005,128,7512.37060546875
GCN,0.2,50,0.0001,16,7056.3984375
GAT,0.2,50,0.0001,16,132770328.0
GraphSAGE,0.2,50,0.0001,16,7488.76171875
GIN,0.2,50,0.0001,16,7478.88037109375
GCN,0.2,50,0.0001,32,7453.33740234375
GAT,0.2,50,0.0001,32,13590607.0
GraphSAGE,0.2,50,0.0001,32,3188.52197265625
GIN,0.2,50,0.0001,32,7539.50634765625
GCN,0.2,50,0.0001,64,7546.5166015625
GAT,0.2,50,0.0001,64,23833988.0
GraphSAGE,0.2,50,0.0001,64,7569.4580078125
GIN,0.2,50,0.0001,64,7506.13037109375
GCN,0.2,50,0.0001,128,7558.81640625
GAT,0.2,50,0.0001,128,10898611200.0
GraphSAGE,0.2,50,0.0001,128,7577.17236328125
GIN,0.2,50,0.0001,128,5316.9892578125
GCN,0.2,100,0.005,16,2802.4921875
GAT,0.2,100,0.005,16,88308.484375
GraphSAGE,0.2,100,0.005,16,7341.56103515625
GIN,0.2,100,0.005,16,7455.56005859375
GCN,0.2,100,0.005,32,7349.048828125
GAT,0.2,100,0.005,32,147188.609375
GraphSAGE,0.2,100,0.005,32,7507.951171875
GIN,0.2,100,0.005,32,3210.24169921875
GCN,0.2,100,0.005,64,7503.66796875
GAT,0.2,100,0.005,64,11475893.0
GraphSAGE,0.2,100,0.005,64,7544.6904296875
GIN,0.2,100,0.005,64,4205.38623046875
GCN,0.2,100,0.005,128,7550.0048828125
GAT,0.2,100,0.005,128,3707997184.0
GraphSAGE,0.2,100,0.005,128,7571.75048828125
GIN,0.2,100,0.005,128,7526.3564453125
GCN,0.2,100,0.001,16,2451.52490234375
GAT,0.2,100,0.001,16,58693476.0
