Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,MSE,Torch MSE,MAE,R2,RMSE,EV Score
GIN,0.05,50,5e-05,64,190.56206,6755.2802734375,8.829075,0.9783824075240368,13.804421,0.9787928462028503
GCN,0.05,50,5e-05,128,19.07096,1455.0155029296875,3.4067376,0.9978365671176364,4.367031,0.9978778958320618
GAT,0.05,50,5e-05,128,9799.429,10378.8984375,40.003014,-0.11165912747817863,98.992065,0.05327492952346802
GraphSAGE,0.05,50,5e-05,128,29.638456,5483.5576171875,2.5762765,0.9966377773820996,5.4441214,0.9970209002494812
GIN,0.05,50,5e-05,128,25934.729,6711.08154296875,64.60038,-1.9420673085048947,161.04263,-1.5152218341827393
GCN,0.05,50,5e-05,256,9.63521,1269.6556396484375,2.4468422,0.9989069700294606,3.1040635,0.9989128708839417
GAT,0.05,50,5e-05,256,10608.777,87273152.0,42.095776,-0.2034726620891747,102.99892,-0.03972458839416504
GraphSAGE,0.05,50,5e-05,256,141.09274,4522.11181640625,11.568527,0.9839942673101153,11.878246,0.988193154335022
GIN,0.05,50,5e-05,256,794.76746,7388.03369140625,11.10775,0.9098406058899212,28.19162,0.9233105778694153
GCN,0.05,50,5e-05,512,7.4686084,1281.4329833984375,1.4450995,0.9991527519815313,2.7328756,0.9992112517356873
GAT,0.05,50,5e-05,512,51080.977,4461276672.0,191.97443,-4.794687796715148,226.01102,-4.149144172668457
GraphSAGE,0.05,50,5e-05,512,8283.238,29148.55859375,33.109722,0.060339325925910514,91.0123,0.17193472385406494
GIN,0.05,50,5e-05,512,847.896,5914.17138671875,10.155093,0.9038136450542247,29.118654,0.9118545055389404
GCN,0.05,100,0.05,32,0.06930698,1662.7740478515625,0.15192653,0.999992137732531,0.26326218,0.9999933838844299
GAT,0.05,100,0.05,32,8604.189,452207.03125,32.163853,0.023930406808786442,92.75877,0.14015448093414307
GraphSAGE,0.05,100,0.05,32,0.3478965,1573.9354248046875,0.38083917,0.9999605342010359,0.5898275,0.9999677538871765
GIN,0.05,100,0.05,32,4.486054,8528.8837890625,1.1194566,0.9994910965982541,2.1180308,0.9995500445365906
GCN,0.05,100,0.05,64,0.023591358,1256.56884765625,0.12349712,0.9999973237676895,0.15359479,0.9999973773956299
GAT,0.05,100,0.05,64,10145.383,6804771.5,41.39217,-0.15090447456133105,100.72429,0.030673861503601074
GraphSAGE,0.05,100,0.05,64,251.36635,2808.90234375,8.161098,0.971484695168331,15.854537,0.9765889644622803
GIN,0.05,100,0.05,64,91.5589,3601.94482421875,4.6342187,0.9896134463228314,9.568642,0.9896224141120911
GCN,0.05,100,0.05,128,0.06557998,1413.8466796875,0.1913098,0.9999925605269332,0.25608587,0.9999935030937195
GAT,0.05,100,0.05,128,10680.549,4239013.5,42.39421,-0.21161439527841863,103.34674,-0.011868596076965332
GraphSAGE,0.05,100,0.05,128,0.024778701,4380.9189453125,0.10917417,0.9999971890741174,0.15741251,0.9999971985816956
GIN,0.05,100,0.05,128,2.696153,4.5554423332214355,0.56877244,0.9996941451347683,1.6419966,0.9997107982635498
GCN,0.05,100,0.05,256,0.0975463,1338.2532958984375,0.2360911,0.9999889342281414,0.31232405,0.9999898672103882
GAT,0.05,100,0.05,256,733.45416,37643.0625,12.942592,0.9167960695322294,27.08236,0.9354003667831421
GraphSAGE,0.05,100,0.05,256,0.06885852,2907.144287109375,0.15719287,0.9999921886054072,0.26240906,0.9999929070472717
GIN,0.05,100,0.05,256,506.15625,8387.505859375,9.013139,0.9425810209990975,22.497917,0.9517779350280762
GCN,0.05,100,0.05,512,15.351887,1311.6134033203125,3.159641,0.9982584633704551,3.9181483,0.9984133243560791
GAT,0.05,100,0.05,512,52481.387,33286024.0,221.89998,-4.953552446074685,229.08817,-2.6953980922698975
GraphSAGE,0.05,100,0.05,512,2.5092793,2284.11279296875,1.5613931,0.9997153443146426,1.5840704,0.9997820854187012
GIN,0.05,100,0.05,512,358.37762,6088.5830078125,7.4999247,0.9593452044205535,18.930864,0.9656046032905579
GCN,0.05,100,0.005,32,1.0135229,1344.46484375,0.4506359,0.9998850247389012,1.0067388,0.9999041557312012
GAT,0.05,100,0.005,32,2.826407,9445.78515625,1.2081584,0.9996793689639579,1.6811922,0.999699592590332
GraphSAGE,0.05,100,0.005,32,62.26574,1990.7059326171875,3.950241,0.9929364991127894,7.8908644,0.9939675331115723
GIN,0.05,100,0.005,32,365.84457,365.8149719238281,3.9237256,0.958498149611229,19.127064,0.9585609436035156
GCN,0.05,100,0.005,64,0.112996,1409.4539794921875,0.2157842,0.9999871815966478,0.33614877,0.9999874830245972
GAT,0.05,100,0.005,64,7135.343,38448.10546875,43.579224,0.19055799053690547,84.470955,0.25655704736709595
GraphSAGE,0.05,100,0.005,64,1.36353,2751.65576171875,0.5971361,0.999845319503578,1.1677029,0.9998750686645508
GIN,0.05,100,0.005,64,24.475412,24.463869094848633,1.5295451,0.997223479602949,4.9472632,0.9972295165061951
GCN,0.05,100,0.005,128,0.047650054,1156.897705078125,0.17266281,0.9999945945203,0.21828893,0.9999947547912598
GAT,0.05,100,0.005,128,1276.3069,68556232.0,34.88228,0.8552141875800707,35.725437,0.8913615942001343
GraphSAGE,0.05,100,0.005,128,0.12928388,2830.70654296875,0.22815418,0.9999853338778253,0.35956067,0.9999853372573853
GIN,0.05,100,0.005,128,1.5094892,7735.21240234375,0.8114511,0.9998287616979826,1.2286127,0.9998414516448975
GCN,0.05,100,0.005,256,0.16274977,1350.42578125,0.3490994,0.9999815374684329,0.40342256,0.9999858140945435
GAT,0.05,100,0.005,256,59.757195,32511780864.0,6.9319043,0.9932210711428645,7.730278,0.9943323135375977
GraphSAGE,0.05,100,0.005,256,0.053083345,4221.662109375,0.14848198,0.9999939781601693,0.23039824,0.9999943375587463
GIN,0.05,100,0.005,256,3.3893185,6543.625,0.71780205,0.9996155115627348,1.8410102,0.9996718764305115
GCN,0.05,100,0.005,512,0.05667046,1390.1934814453125,0.18171002,0.9999935712342276,0.23805559,0.9999937415122986
GAT,0.05,100,0.005,512,4591.3696,1619522.375,67.62447,0.4791494246918033,67.75964,0.6388303637504578
GraphSAGE,0.05,100,0.005,512,13.706993,2049.436279296875,3.68573,0.9984450620669179,3.7022955,0.9990644454956055
GIN,0.05,100,0.005,512,39.590134,6027.24267578125,2.5295038,0.9955088469980271,6.292069,0.9962244033813477
GCN,0.05,100,0.0005,32,1.4006773,1320.03759765625,0.5113877,0.9998411054650663,1.1835022,0.9998665452003479
GAT,0.05,100,0.0005,32,9046.956,9046.9560546875,36.030716,-0.026297713644126253,95.115486,0.11855024099349976
GraphSAGE,0.05,100,0.0005,32,0.08044424,5396.2470703125,0.19963472,0.9999908743072357,0.28362694,0.9999927282333374
GIN,0.05,100,0.0005,32,23.053385,5661.529296875,1.977367,0.9973847960176982,4.801394,0.9977404475212097
GCN,0.05,100,0.0005,64,0.042277418,1373.0523681640625,0.16167097,0.9999952039984518,0.20561473,0.9999953508377075
GAT,0.05,100,0.0005,64,10724.687,14021.80078125,43.22571,-0.2166214729771061,103.56006,-0.01185142993927002
GraphSAGE,0.05,100,0.0005,64,0.15677188,10078.6982421875,0.24220212,0.9999822156055772,0.3959443,0.9999822378158569
GIN,0.05,100,0.0005,64,244.96693,253.83848571777344,5.689728,0.9722106525342847,15.65142,0.9722691178321838
GCN,0.05,100,0.0005,128,0.14978656,1462.286376953125,0.26873103,0.9999830080311544,0.38702267,0.9999876022338867
GAT,0.05,100,0.0005,128,9590.792,9590.7919921875,39.543694,-0.08799108037759229,97.93259,0.06316548585891724
GraphSAGE,0.05,100,0.0005,128,0.13811629,10383.1923828125,0.21826914,0.9999843319213861,0.37164,0.999984860420227
GIN,0.05,100,0.0005,128,68.56163,4728.1982421875,3.7306352,0.9922222854275041,8.280195,0.9935140609741211
GCN,0.05,100,0.0005,256,0.058565278,1364.4169921875,0.17716108,0.9999933562840071,0.24200264,0.9999951124191284
GAT,0.05,100,0.0005,256,1670.3185,47579640.0,37.73535,0.8105170302246418,40.86953,0.8685415983200073
GraphSAGE,0.05,100,0.0005,256,0.10881945,1538.42138671875,0.3048392,0.9999876553893537,0.32987794,0.9999890923500061
GIN,0.05,100,0.0005,256,11.965907,1398.1290283203125,2.1229863,0.9986425729180339,3.4591773,0.9991119503974915
GCN,0.05,100,0.0005,512,1.757015,1454.1265869140625,1.2791314,0.9998006820675065,1.3255244,0.9998562932014465
GAT,0.05,100,0.0005,512,9136.12,9154.9462890625,38.92712,-0.03641260453469908,95.58305,0.10306119918823242
GraphSAGE,0.05,100,0.0005,512,0.4822108,2535.588134765625,0.48065522,0.9999452974243059,0.69441396,0.9999472498893738
GIN,0.05,100,0.0005,512,0.55948436,4681.51025390625,0.39347386,0.9999365314103221,0.74798685,0.9999495148658752
GCN,0.05,100,5e-05,32,0.03215455,1577.83740234375,0.12077342,0.9999963523486096,0.1793169,0.9999963641166687
GAT,0.05,100,5e-05,32,9827.245,9827.24609375,38.976486,-0.11481464421540322,99.13246,0.05410844087600708
